

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
074.645  000.065  000.065: require('nvim-tree.actions.node.run-command')
074.748  000.102  000.102: require('nvim-tree.actions.node.file-popup')
074.858  000.109  000.109: require('nvim-tree.actions.node.system-open')
074.957  000.096  000.096: require('nvim-tree.marks.bulk-move')
074.978  001.322  000.150: require('nvim-tree.actions.dispatch')
075.115  005.400  000.238: require('nvim-tree')
078.750  000.316  000.316: require('nvim-tree.actions')
078.953  000.196  000.196: require('nvim-tree.actions.node.open-file')
079.865  000.029  000.029: require('nvim-tree.marks.navigation')
079.868  000.088  000.059: require('nvim-tree.api')
079.879  000.142  000.054: require('nvim-tree.keymap')
081.434  000.046  000.046: require('lir')
082.602  000.041  000.041: require('nvim-autopairs._log')
082.639  000.035  000.035: require('nvim-autopairs.utils')
082.733  000.036  000.036: require('nvim-autopairs.conds')
082.737  000.067  000.030: require('nvim-autopairs.rule')
082.738  000.098  000.031: require('nvim-autopairs.rules.basic')
082.745  000.241  000.067: require('nvim-autopairs')
082.818  000.031  000.031: require('nvim-autopairs.fastwrap')
083.025  000.029  000.029: require('nvim-autopairs.ts-conds')
083.027  000.058  000.029: require('nvim-autopairs.rules.ts_basic')
083.067  000.039  000.039: require('vim.treesitter.highlighter')
083.625  000.027  000.027: require('nvim-autopairs.completion.handlers')
083.630  000.067  000.040: require('nvim-autopairs.completion.cmp')
084.902  000.050  000.050: require('telescope._extensions.projects')
085.596  000.646  000.646: require('fzf_lib')
085.600  000.693  000.047: require('telescope._extensions.fzf')
085.679  000.072  000.072: require('nvim-navic')
085.739  028.780  019.342: sourcing /home/jero/.config/lvim/plugin/packer_compiled.lua
